职位,工资,经验,学历,公司规模
Python工程师,13k-20k,3-5年,本科,50-150人
python开发工程师,25k-40k,5-10年,本科,少于15人
Python开发工程师,15k-25k,3-5年,本科,50-150人
Python工程师,15k-30k,1-3年,本科,150-500人
Python开发师,15k-30k,3-5年,本科,150-500人
Python,15k-30k,3-5年,本科,50-150人
Python开发工程师,15k-25k,5-10年,本科,500-2000人
Python开发工程师,10k-20k,1-3年,本科,150-500人
Python开发工程师—上海,10k-20k,1-3年,本科,50-150人
python开发工程师,15k-30k,3-5年,本科,15-50人
Python资深开发工程师,15k-30k,3-5年,本科,500-2000人
Python 开发工程师,20k以上,不限,本科,150-500人
Python开发工程师,20k-35k,5-10年,本科,500-2000人
Django/Python/后端开发,20k-35k,3-5年,本科,15-50人
Python开发工程师 （上海/北京）,15k-30k,3-5年,本科,150-500人
Python开发,15k-30k,3-5年,本科,150-500人
高级Python开发,25k-35k,5-10年,本科,50-150人
Python中级开发工程师,10k-18k,1-3年,本科,50-150人
高级Python开发工程师,25k-35k,5-10年,本科,500-2000人
Python后端开发工程师 (MJ001090),15k-30k,1-3年,大专,500-2000人
运维开发工程师（Python）,14k-18k,1-3年,本科,500-2000人
Python工程师,20k-35k,3-5年,本科,2000人以上
python开发工程师,15k-25k,3-5年,大专,500-2000人
Python后端开发工程师,15k-30k,3-5年,本科,15-50人
Python技术经理,20k-30k,3-5年,不限,少于15人
Python后端开发,8k-12k,1-3年,本科,50-150人
资深Python后端开发工程师,20k-35k,3-5年,本科,15-50人
Python开发实习生-短视频方向,4k-8k,不限,本科,2000人以上
python 高级开发工程师,15k-30k,不限,本科,500-2000人
Python开发,12k-18k,3-5年,本科,500-2000人
Python资深开发,12k-24k,3-5年,本科,150-500人
Python高级开发工程师,15k-20k,3-5年,本科,50-150人
python工程师,20k-40k,不限,不限,50-150人
python,8k-15k,3-5年,本科,500-2000人
Python开发工程师,13k-26k,1-3年,本科,15-50人
运维开发工程师（Python）,14k-18k,1-3年,本科,500-2000人
架构师(Python技术架构),20k-40k,5-10年,本科,50-150人
Senior Python Engineer,40k-60k,5-10年,本科,15-50人
后端开发工程师 (Django）,20k-35k,3-5年,本科,15-50人
Python后端开发工程师,15k-30k,3-5年,本科,15-50人
00850-研发工程师（Go/Python）,15k-25k,3-5年,大专,500-2000人
Python,15k-25k,3-5年,本科,50-150人
python数据开发,15k-30k,3-5年,本科,50-150人
Python工程师,18K-35K,3-5年,本科,150-500人
Java/Python资深开发工程师,35k-70k,5-10年,本科,50-150人
高级Python开发工程师,15k-30k,3-5年,大专,2000人以上
Python开发工程师,15k-30k,3-5年,本科,150-500人
Python开发工程师,12k-20k,1-3年,本科,150-500人
初级python(算法、建模）,4k-5k,1-3年,本科,15-50人
Python开发高级工程师,15k-30k,3-5年,本科,15-50人
Python研发工程师,15k-25k,1-3年,不限,15-50人
Python开发,6k-10k,应届毕业生,本科,500-2000人
python开发工程师,14k-18k,1-3年,本科,15-50人
资深python开发工程师,15k-25k,3-5年,不限,500-2000人
python,18k-36k,3-5年,本科,50-150人
Python/R程序开发,13k-18k,3-5年,本科,500-2000人
高级python开发工程师,15k-25k,3-5年,硕士,2000人以上
高级Python开发工程师,15k-25k,3-5年,本科,50-150人
Python开发,11k-17k,3-5年,大专,少于15人
Python高级开发工程师,15k-25k,3-5年,本科,150-500人
python开发工程师,25k-50k,不限,本科,500-2000人
python开发工程师,15k-26k,3-5年,本科,2000人以上
python工程师,10k-20k,1-3年,本科,150-500人
高级python开发工程师,15k-30k,3-5年,本科,150-500人
Python（年轻人的狂欢）,12k-20k,1-3年,本科,50-150人
Python工程师,15k-20k,1-3年,本科,2000人以上
python开发,15k-25k,1-3年,本科,2000人以上
运维工程师（Python）,8k-13k,1-3年,本科,2000人以上
Python开发工程师,15k-30k,1-3年,本科,15-50人
架构师 - Python,18k-35k,1-3年,本科,15-50人
Python开发工程师,7k-14k,不限,不限,50-150人
Python开发工程师,9k-14k,1-3年,本科,15-50人
python开发工程师,10k-20k,3-5年,本科,150-500人
Python工程师（中级）,10k-15k,3-5年,本科,50-150人
Python软件工程师,10k-18k,3-5年,本科,15-50人
技术主管 - Python,16k-32k,1-3年,本科,15-50人
python开发工程师,20k-40k,3-5年,本科,2000人以上
python开发工程师,15k-30k,不限,不限,500-2000人
python后端开发,6k-12k,应届毕业生,硕士,500-2000人
Python高级工程师,15k-30k,1-3年,本科,15-50人
高级数据平台开发工程师-Python,25k-40k,3-5年,本科,150-500人
Python后端工程师,15k-20k,3-5年,本科,50-150人
Python研发工程师,15k-30k,3-5年,本科,50-150人
python高级大数据开发工程师,15k-30k,3-5年,本科,50-150人
运维工程师（python方向）,7k-12k,1-3年,大专,2000人以上
python开发工程师,15k-20k,3-5年,大专,50-150人
高级Python开发工程师,16k-32k,3-5年,本科,50-150人
Python工程师,20k-35k,3-5年,本科,50-150人
python开发工程师,10k-18k,1-3年,本科,150-500人
Python开发工程师,10k-15k,应届毕业生,本科,15-50人
后端开发工程师（Python）,25k-45k,3-5年,本科,150-500人
Python（年轻人的狂欢）,12k-20k,1-3年,本科,50-150人
Python开发工程师,18k-25k,5-10年,大专,50-150人
python开发工程师,10k-18k,1-3年,本科,150-500人
Python开发工程师,10k-15k,应届毕业生,本科,15-50人
python开发工程师,12k-24k,不限,本科,15-50人
python,10k-20k,3-5年,本科,少于15人
Python高级开发工程师,15k-30k,3-5年,本科,2000人以上
高级Python开发工程师,25k-50k,3-5年,本科,2000人以上
智能监控开发工程师 Java/C++/Python,28k-48k,3-5年,本科,2000人以上
Python资深工程师,15k-30k,1-3年,本科,15-50人
python 开发工程师,7k-10k,1-3年,本科,50-150人
Python研发工程师,15k-30k,1-3年,本科,2000人以上
高级Python开发,20k-40k,3-5年,本科,50-150人
Python开发工程师（上海）,10k-15k,不限,本科,2000人以上
高级数据平台开发工程师-Python方向,25k-40k,3-5年,本科,150-500人
高级Python开发工程师--抖音上海,25k-50k,3-5年,本科,2000人以上
python软件开发,9k-18k,1-3年,大专,15-50人
Python高级开发工程师,15k-30k,1-3年,本科,15-50人
Python开发工程师（上海）,15k-30k,不限,本科,2000人以上
Python工程师,10k-15k,1-3年,本科,50-150人
Python开发工程师,12k-18k,3-5年,本科,15-50人
云计算开发工程师（Python）,12k-24k,3-5年,本科,150-500人
高级Python开发工程师,20k-40k,1-3年,本科,2000人以上
python全栈开发,10k-20k,不限,本科,500-2000人
Python开发工程师,4k-7k,不限,大专,15-50人
Python开发工程师,15k-30k,3-5年,本科,50-150人
Python开发工程师,15k-25k,3-5年,大专,50-150人
Python开发工程师,20k-40k,1-3年,本科,500-2000人
Python开发,15k-30k,3-5年,本科,2000人以上
资深Python研发工程师-产品变现,25k-40k,3-5年,本科,2000人以上
python工程师,8k-15k,应届毕业生,不限,50-150人
Python开发工程师（API接口开发）,15k-25k,1-3年,本科,15-50人
Python开发工程师,15k-25k,3-5年,本科,50-150人
Python开发工程师,7k-14k,1-3年,本科,15-50人
Python开发工程师,15k-25k,3-5年,本科,2000人以上
python开发实习生,4k-6k,应届毕业生,本科,150-500人
Python开发工程师,12k-18k,1-3年,本科,2000人以上
Python开发工程师,10k-15k,1-3年,本科,2000人以上
Python开发实习生,5k-6k,应届毕业生,本科,15-50人
资深python后端开发工程师,20k-40k,3-5年,本科,150-500人
资深Python开发工程师,22k-30k,3-5年,本科,15-50人
Python软件开发工程师,8k-15k,1-3年,本科,15-50人
Python,10k-20k,1-3年,不限,50-150人
Python数据开发,10k-15k,1-3年,本科,150-500人
Python开发实习生,4k-6k,应届毕业生,本科,150-500人
Python数据开发,10k-15k,1-3年,本科,150-500人
运维开发（python方向）,12k-24k,1-3年,本科,500-2000人
Python工程师-SEO经验者优先,6k-12k,不限,本科,15-50人
Python开发／后端软件工程师.,20k-30k,5-10年,本科,50-150人
初级 Python工程师,8k-12k,1-3年,本科,50-150人
python高级开发工程师,15k-30k,3-5年,本科,15-50人
python高级开发工程师,10k-20k,1-3年,本科,50-150人
Python (Service Dev),15k-20k,3-5年,本科,50-150人
Python初级工程师,5k-9k,不限,本科,150-500人
Python后端开发工程师,10k-20k,1-3年,本科,少于15人
