职位,工资,经验,学历,公司规模
python开发工程师 （AI）,12k-20k,3-5年,本科,150-500人
Python开发工程师（南京）,10k-18k,1-3年,本科,150-500人
Python高级工程师,10k-18k,3-5年,本科,2000人以上
python运维开发工程师,10k-20k,3-5年,本科,2000人以上
Python后端开发工程师,10k-20k,3-5年,本科,150-500人
Python开发工程师,8k-12k,1-3年,本科,150-500人
Go/shell/python运维开发工程师,5k-10k,3-5年,大专,15-50人
python后端,8k-16k,3-5年,本科,150-500人
python,9k-18k,1-3年,本科,2000人以上
python开发工程师,10k-15k,不限,不限,50-150人
Python/Openstack开发工程师,12k-18k,3-5年,本科,15-50人
python开发工程师,10k-15k,3-5年,本科,150-500人
Python高级开发/技术经理,20k-40k,3-5年,不限,15-50人
资深Python研发工程师,25k-40k,3-5年,本科,2000人以上
Python高级开发/技术经理,20k-40k,3-5年,不限,15-50人
Python开发工程师,20k-30k,3-5年,本科,15-50人
django开发工程师,8k-12k,1-3年,本科,少于15人
Python研发工程师,6k-12k,不限,本科,少于15人
Python工程师,8k-15k,1-3年,大专,50-150人
Python高级工程师,15k-30k,不限,不限,15-50人
Python开发工程师-NJ,9k-14k,1-3年,本科,150-500人
Python开发工程师,8k-12k,1-3年,本科,50-150人
python后端开发工程师,15k-30k,3-5年,本科,50-150人
python工程师,15k-25k,3-5年,不限,15-50人
Python,9k-18k,不限,本科,50-150人
资深软件开发工程师 - Python/Java,15k-20k,3-5年,本科,2000人以上
Python web,5k-9k,应届毕业生,本科,50-150人
Python高级开发工程师/技术经理,15k-30k,1-3年,不限,15-50人
WEB工程师-PHP、node.js、Python,10k-18k,1-3年,本科,50-150人
后端研发python方向,15k-25k,3-5年,本科,500-2000人
爬虫工程师(python),9k-18k,不限,本科,50-150人
Python工程师（数据挖掘方向，可实习）,8k-16k,应届毕业生,本科,15-50人
Go/Python/Java/C/C++资深工程师,15k-25k,5-10年,本科,2000人以上
研发项目高级经理/总监,18k-30k,5-10年,本科,50-150人
服务端开发工程师（C++/C/go/python）,10k-20k,1-3年,本科,50-150人
后端开发工程师,9k-18k,1-3年,不限,150-500人
