职位,工资,经验,学历,公司规模
Python 开发工程师,10k-20k,3-5年,本科,少于15人
Python 工程师,15k-25k,1-3年,本科,50-150人
python工程师,5k-10k,不限,大专,15-50人
Python工程师,8k-16k,不限,不限,15-50人
Python后端开发工程师,8k-15k,3-5年,本科,2000人以上
Python工程师,7k-12k,1-3年,大专,15-50人
python 工程师,5k-10k,应届毕业生,本科,15-50人
Python程序员,6k-8k,不限,本科,少于15人
python爬虫工程师,8k-15k,1-3年,本科,少于15人
算法应用服务开发工程师,20k-40k,不限,本科,150-500人
数据库开发工程师,8k-15k,3-5年,本科,500-2000人
大数据实施开发工程师,20k-40k,3-5年,不限,500-2000人
大数据平台开发工程师,10k-20k,1-3年,本科,500-2000人
技术支持,5k-9k,1-3年,本科,50-150人
高级容器云开发工程师/容器技术专家,20k-35k,3-5年,本科,2000人以上
Python开发工程师,8k-16k,不限,本科,2000人以上
python 工程师,5k-10k,应届毕业生,硕士,15-50人
Go后端工程师,10k-18k,5-10年,本科,15-50人
高级java工程师,10K-20K,3-5年,本科,2000人以上
高级工程效率开发工程师,15k-30k,3-5年,本科,2000人以上
AI研发工程师,10K-20K,1-3年,本科,15-50人
运维开发工程师,10k-20k,1-3年,不限,150-500人
运维开发工程师,20k-30k,3-5年,本科,2000人以上
数据挖掘工程师,15k-30k,不限,本科,150-500人
服务端工程师 ( FrontRow ),7k-14k,1-3年,不限,500-2000人
高级容器云开发工程师/容器技术专家,18k-35k,1年以下,本科,2000人以上
自动化测试工程师,8k-15k,3-5年,大专,150-500人
高级测试工程师,8k-15k,1-3年,本科,500-2000人
视频分析技术研究工程师-厦门,15k-30k,1-3年,硕士,150-500人
测试开发工程师,8k-15k,1-3年,本科,150-500人
python/java/php研发工程师,8k-16k,1-3年,本科,15-50人
初级Ai 研发工程师,10k-15k,1年以下,本科,15-50人
测试工程师,7k-13k,1-3年,本科,500-2000人
算法工程师,20k-40k,3-5年,不限,150-500人
后端研发工程师,15k-30k,3-5年,本科,500-2000人
服务端研发工程师-视频业务,15k-30k,1-3年,本科,2000人以上
Web开发工程师,6k-12k,1-3年,本科,少于15人
测试开发高级工程师,8k-10k,3-5年,本科,2000人以上
NLP开发工程师,10k-20k,1-3年,本科,500-2000人
Linux运维工程师,6k-12k,不限,大专,15-50人
运维经理,15k-25k,3-5年,大专,50-150人
测试工程师,7k-11k,1-3年,本科,50-150人
大数据开发工程师,10k-20k,3-5年,本科,少于15人
自动化测试,8k-15k,1-3年,本科,500-2000人
云计算网络研发工程师/SDN研发工程师,20k-35k,3-5年,本科,2000人以上
运维工程师,13k-25k,3-5年,大专,500-2000人
后台开发实习生-西瓜视频 - 有转正机会,3k-6k,不限,本科,2000人以上
算法专家,15k-30k,不限,本科,500-2000人
数据分析师,8k-13k,3-5年,大专,150-500人
高级软件开发工程师,10k-20k,1-3年,本科,少于15人
c++工程师,4k-7k,不限,大专,15-50人
C++开发工程师（面向19届）,2k-4k,应届毕业生,大专,150-500人
资深运维工程师,25k-35k,3-5年,本科,15-50人
大数据开发高级工程师,10k-15k,3-5年,本科,2000人以上
运维开发工程师,15k-30k,3-5年,本科,2000人以上
中高级游戏服务端开发工程师,6k-10k,1-3年,不限,15-50人
高级后端开发工程师,8k-16k,1-3年,本科,50-150人
后端研发工程师,15k-25k,3-5年,本科,150-500人
中/高级前端开发工程师,9k-13k,3-5年,大专,150-500人
java服务端,8k-15k,1-3年,本科,50-150人
算法工程师,15k-30k,3-5年,本科,2000人以上
c++,10k-20k,3-5年,大专,15-50人
c++开发工程师,15k-25k,3-5年,本科,少于15人
android开发工程师,8k-12k,1-3年,不限,15-50人
算法工程师,10k-20k,1-3年,本科,500-2000人
技术总监,20k-40k,5-10年,本科,15-50人
大数据研发工程师,13k-25k,3-5年,本科,500-2000人
AI工程师,20k-30k,5-10年,本科,15-50人
高级Java研发工程师,10k-16k,3-5年,本科,15-50人
iOS开发工程师,7k-10k,1-3年,大专,少于15人
运维工程师,8k-15k,不限,不限,15-50人
高级算法工程师,15k-30k,3-5年,本科,2000人以上
图像目标检测算法工程师（IOD）-厦门,15k-30k,1-3年,硕士,150-500人
高级算法策略工程师,20k-40k,3-5年,本科,500-2000人
php开发工程师,8k-16k,1-3年,本科,少于15人
人脸识别算法工程师（AFR）-厦门,15k-30k,1-3年,硕士,150-500人
自然语言开放工程师,15k-20k,1-3年,大专,150-500人
web前端开发工程师,6k-12k,1-3年,大专,15-50人
云计算网络研发工程师/SDN研发工程师,18k-35k,1年以下,本科,2000人以上
web前端开发工程师（股票期权）,12k-15k,1-3年,大专,少于15人
EOS开发,10k-15k,3-5年,不限,15-50人
PHP开发工程师,4k-8k,1-3年,大专,15-50人
数据工程师,20k-40k,3-5年,本科,500-2000人
算法专家,20k-30k,3-5年,本科,2000人以上
运筹优化算法工程师,20k-40k,3-5年,硕士,2000人以上
高级测试工程师,9k-15k,5-10年,本科,500-2000人
中级前端工程师,10k-15k,不限,本科,150-500人
大数据开发工程师（实习生）,6k-12k,应届毕业生,本科,50-150人
实施工程师（厦门） (MJ000236),5k-10k,不限,大专,150-500人
高级算法工程师,25k-35k,3-5年,本科,2000人以上
语言模型训练算法工程师-厦门,15k-30k,1-3年,硕士,150-500人
高级DBA,12k-24k,3-5年,本科,500-2000人
算法工程师,15k-30k,不限,本科,2000人以上
测试工程师,5k-10k,1-3年,本科,150-500人
算法工程师,15k-30k,不限,不限,2000人以上
Linux运维工程师,6k-12k,1-3年,大专,150-500人
游戏服务端开发工程师（C++）,13k-20k,3-5年,大专,2000人以上
软件测试工程师,4k-7k,1-3年,大专,50-150人
数据挖掘工程师,10k-20k,3-5年,本科,500-2000人
风控,8k-12k,5-10年,本科,15-50人
运维工程师,7k-12k,3-5年,大专,50-150人
深度学习算法工程师,10k-15k,不限,本科,15-50人
算法开发工程师（算法落地）,15k-30k,不限,本科,2000人以上
算法工程师（规划决策/定位地图/数据融合方向）,8k-16k,应届毕业生,本科,500-2000人
运维工程师,6k-12k,1-3年,大专,50-150人
数据工程师,15k-30k,1-3年,本科,500-2000人
推荐算法工程师,20k-40k,不限,硕士,2000人以上
开发运维工程师,10k-20k,3-5年,本科,150-500人
前端工程师,6k-12k,不限,不限,150-500人
运维工程师,7k-14k,3-5年,不限,50-150人
运维工程师,6k-10k,1-3年,大专,15-50人
