职位,工资,经验,学历,公司规模
Python工程师,10k-20k,1-3年,本科,50-150人
python工程师,10k-20k,5-10年,本科,150-500人
Python工程师,4k-8k,3-5年,大专,少于15人
python工程师,8k-10k,1-3年,大专,50-150人
大数据研发工程师（天津）,8k-12k,1-3年,本科,150-500人
系统研发工程师,10k-20k,3-5年,本科,50-150人
后端开发工程师,15k-25k,1-3年,本科,150-500人
高精地图开发工程师,8k-15k,3-5年,本科,50-150人
天津java开发,9k-14k,不限,本科,2000人以上
高级Web前端开发工程师,15k-20k,1-3年,本科,50-150人
初级测试工程师,5k-10k,1-3年,本科,150-500人
php后端,15k-30k,1-3年,本科,150-500人
DBA,8k-15k,3-5年,本科,500-2000人
算法工程师,10k-20k,不限,硕士,500-2000人
java-服务器研发工程师 -Saas,8k-16k,3-5年,本科,15-50人
Python工程师 - 实习,3k-4k,不限,本科,50-150人
算法工程师（天津）,6k-12k,1-3年,本科,150-500人
高级后端开发工程师,25k-40k,3-5年,本科,150-500人
高精地图开发工程师,15k-30k,1-3年,本科,50-150人
Web前端开发工程师（天津西青）,8k-16k,1-3年,本科,50-150人
自动化测试工程师,10k-15k,3-5年,本科,150-500人
运维开发工程师,10k-15k,不限,本科,500-2000人
高级java开发工程师,15k-25k,5-10年,本科,2000人以上
大数据开发工程师,8k-15k,不限,大专,500-2000人
算法工程师,20k-40k,3-5年,本科,15-50人
项目经理（技术）,6k-12k,1-3年,大专,少于15人
感知算法工程师,15k-25k,不限,硕士,50-150人
运维工程师（天津）,6k-12k,3-5年,本科,150-500人
PHP工程师,3k-6k,1-3年,本科,15-50人
实施工程师（天津） (MJ000237),5k-10k,不限,不限,150-500人
golang工程师,25k-50k,不限,本科,150-500人
高级前端开发工程师（天津西青）,12k-20k,1-3年,本科,50-150人
高级运维开发工程师,30k-60k,不限,本科,500-2000人
运维开发工程师,8K-14K,1-3年,本科,50-150人
web前端开发工程师,8k-12k,3-5年,本科,150-500人
智能化运维产品研发人员,8k-15k,3-5年,本科,500-2000人
车辆控制算法工程师,15k-25k,应届毕业生,硕士,50-150人
高级前端工程师,12k-20k,5-10年,本科,50-150人
渗透测试工程师,15k-25k,3-5年,本科,150-500人
实习软件工程师（校招）,2k-3k,应届毕业生,本科,50-150人
数据库运维,6k-10k,1-3年,本科,15-50人
渗透工程师(初级),4k-6k,不限,不限,15-50人
测试工程师,8k-15k,3-5年,本科,2000人以上
测试工程师（外包）,9k-15k,3-5年,本科,2000人以上
测试工程师,8k-15k,3-5年,本科,500-2000人
高级PHP开发工程师（天津南开）,12k-18k,不限,本科,50-150人
测试工程师,15k-30k,5-10年,本科,150-500人
自然语言处理算法工程师,14k-28k,1-3年,硕士,50-150人
信息融合算法工程师,15k-25k,不限,硕士,50-150人
java工程师(安全方向),8K-15K,3-5年,大专,150-500人
devops（容器云方向）,7k-9k,1-3年,本科,150-500人
大数据开发工程师,12k-20k,3-5年,本科,50-150人
高级 Web 前端 工程师,15k-20k,3-5年,本科,15-50人
大数据开发高级工程师,15k-30k,3-5年,本科,15-50人
测试工程师,6k-12k,1-3年,本科,500-2000人
爬虫工程师,4k-7k,1-3年,大专,15-50人
java开发工程师,5k-10k,1-3年,不限,50-150人
测试主管,10k-12k,3-5年,本科,50-150人
AI算法工程师,10k-20k,应届毕业生,硕士,150-500人
测试工程师,6k-10k,1-3年,本科,15-50人
路径规划与决策算法工程师,15k-25k,不限,硕士,50-150人
devops经理,10k-13k,5-10年,本科,150-500人
数据挖掘技术专家（合伙人）,20k-40k,5-10年,硕士,15-50人
测试工程师,10k-15k,3-5年,本科,50-150人
数据建模岗（工作地点：北京/ 天津/ 保定）,20k-30k,3-5年,本科,150-500人
软件测试工程师,6k-12k,不限,大专,15-50人
运维技术支持,3k-6k,不限,大专,15-50人
数据处理工程师,2k-4k,应届毕业生,本科,少于15人
软件测试工程师,15k-18k,5-10年,本科,2000人以上
大数据工程师,12k-23k,不限,本科,15-50人
测试工程师,4k-8k,不限,本科,15-50人
数据分析师,10k-20k,不限,不限,少于15人
数据分析,7k-12k,1-3年,本科,50-150人
Web前端开发工程师（天津）,9k-18k,1-3年,本科,50-150人
测试开发工程师,7k-14k,1-3年,本科,50-150人
Web前端开发工程师（实习）,4k-8k,不限,本科,50-150人
PHP开发工程师（天津西青）,10k-20k,1-3年,本科,50-150人
运维开发工程师（天津西青）,8k-16k,1-3年,本科,50-150人
测试工程师,8k-14k,1-3年,本科,50-150人
