职位,工资,经验,学历,公司规模
Python软件工程师,9k-15k,1-3年,本科,15-50人
量化平台研发工程师-python,15k-25k,3-5年,不限,2000人以上
python开发,10k-15k,3-5年,本科,50-150人
Python工程师,12k-18k,不限,大专,15-50人
python开发工程师【珠江新城】,10k-18k,3-5年,大专,2000人以上
高级python开发工程师,15k-22k,3-5年,大专,15-50人
Python高级开发工程师,10k-20k,3-5年,本科,15-50人
Python开发工程师,10k-15k,不限,本科,15-50人
python开发工程师,10k-20k,1-3年,本科,15-50人
Python web开发工程师,15k-25k,3-5年,本科,150-500人
Python应用工程师（业务系统方向）,10k-18k,3-5年,大专,50-150人
Python讲师/助教,5k-8k,不限,大专,150-500人
python开发工程师,12k-18k,3-5年,本科,2000人以上
Python开发-驻场广州,10k-20k,3-5年,本科,50-150人
python开发工程师,8k-16k,1-3年,本科,500-2000人
量化平台测试工程师-python,8k-13k,1-3年,本科,2000人以上
ＰＨＰ兼 Python 开发工程师,13k-18k,不限,大专,15-50人
Python后端开发工程师【珠江新城】,10k-20k,3-5年,大专,2000人以上
python开发工程师,15k-22k,3-5年,大专,15-50人
Python,7k-10k,1-3年,大专,500-2000人
Python开发工程师,15k-20k,1-3年,本科,2000人以上
python开发,10k-18k,1-3年,本科,500-2000人
python开发工程师,10k-15k,1-3年,大专,50-150人
Python高级开发工程师,15k-30k,3-5年,不限,150-500人
python开发工程师,10k-15k,1-3年,本科,15-50人
Python高级开发工程师,15k-26k,3-5年,本科,50-150人
python开发工程师,8k-15k,1-3年,大专,15-50人
Python开发工程师,8k-14k,不限,本科,少于15人
python工程师,7k-10k,1-3年,大专,少于15人
python开发工程师,6k-10k,3-5年,大专,150-500人
量化平台开发工程师-Python【珠江新城】,15k-25k,3-5年,本科,2000人以上
Python开发,10k-13k,1-3年,不限,少于15人
Python工程师,15k-20k,3-5年,不限,15-50人
python服务端开发工程师,15k-30k,不限,本科,2000人以上
python工程师,5k-9k,1-3年,大专,少于15人
Python开发工程师,7k-13k,1-3年,本科,500-2000人
python,10k-14k,不限,不限,15-50人
Python开发工程师,6k-12k,1-3年,大专,150-500人
Python开发工程师,10k-20k,3-5年,本科,50-150人
python开发工程师,15k-22k,3-5年,本科,50-150人
Java/Python算法工程师,6k-8k,不限,本科,少于15人
Python开发工程师,6k-12k,不限,不限,50-150人
python开发工程师,8k-10k,1-3年,本科,150-500人
Python开发工程师,10k-20k,3-5年,大专,少于15人
后端开发工程师（python）,8k-15k,1-3年,大专,150-500人
【广州】后端开发工程师（Python）,15k-25k,1-3年,本科,150-500人
python工程师,10k-15k,1-3年,本科,15-50人
中级Python开发工程师（平台开发）,12k-24k,3-5年,本科,50-150人
python后端,8k-12k,3-5年,本科,500-2000人
python后端,15k-25k,3-5年,本科,50-150人
python讲师,20k-30k,1-3年,大专,500-2000人
系统运维工程师（Python）,8k-15k,3-5年,大专,2000人以上
Python web开发工程师,15k-20k,3-5年,本科,少于15人
Python后端开发工程师,8k-15k,1-3年,不限,15-50人
Python实习工程师,3k-5k,应届毕业生,大专,少于15人
Python工程队/讲师,10k-15k,3-5年,本科,150-500人
Python实习,2k-4k,1年以下,不限,50-150人
中级Python后端开发工程师,8k-12k,1-3年,本科,150-500人
游戏服务器开发工程师（C/C++/Python）,10k-15k,1-3年,本科,150-500人
Python web高级工程师,12k-24k,3-5年,本科,少于15人
资深后端开发工程师（Python）,25k-40k,5-10年,本科,150-500人
初级Python开发工程师（平台开发）,6k-12k,1-3年,本科,50-150人
python游戏服务器开发工程师,6k-12k,不限,大专,50-150人
Python网页后端,8k-15k,1-3年,本科,15-50人
资深Python爬虫工程师,25k-50k,3-5年,本科,500-2000人
C++/python主程,15k-20k,5-10年,本科,150-500人
python爬虫讲师,5k-8k,不限,不限,2000人以上
Python爬虫工程师,7k-10k,1-3年,大专,15-50人
Python爬虫工程师,10k-20k,应届毕业生,本科,150-500人
游戏服务器开发工程师（C/C++/Python）,5k-10k,应届毕业生,本科,150-500人
Python数据挖掘及人工智能机器学习讲师,20k-35k,3-5年,大专,150-500人
odoo开发工程师,15k-20k,3-5年,本科,150-500人
后端开发工程师,10k-18k,1-3年,大专,50-150人
数据开发工程师,10k-20k,1-3年,本科,50-150人
技术经理（C++方向）,30k-50k,5-10年,本科,50-150人
高级后端开发工程师（Python）,15k-30k,3-5年,本科,150-500人
Python爬虫工程师,15k-30k,1-3年,本科,500-2000人
数据开发工程师,8k-12k,1-3年,本科,50-150人
高级数据开发工程师【珠江新城】,10k-20k,3-5年,大专,2000人以上
推荐系统开发工程师,15k-25k,3-5年,本科,500-2000人
大数据开发工程师,20K-25K,1-3年,本科,150-500人
手游客户端开发工程师,15k-30k,不限,本科,2000人以上
后端工程师,15k-30k,3-5年,本科,15-50人
大数据开发工程师【番禺节能科技园】,12k-20k,3-5年,本科,2000人以上
前端工程师,15k-25k,1-3年,本科,150-500人
大数据开发工程师,12k-22k,1-3年,大专,150-500人
高级前端,15k-24k,3-5年,本科,150-500人
前端开发工程师,8k-15k,1-3年,本科,150-500人
C++研发工程师,12k-20k,3-5年,本科,150-500人
前端开发工程师,8k-16k,1-3年,本科,150-500人
手游服务端开发工程师,18k-35k,不限,本科,2000人以上
前端,15k-24k,3-5年,本科,150-500人
GIS开发工程师（广州）,12k-18k,1-3年,本科,150-500人
大数据开发工程师,10k-20k,1-3年,本科,50-150人
Golang开发工程师,15k-30k,3-5年,大专,15-50人
PHP开发工程师,8k-15k,1-3年,本科,500-2000人
研发总监（技术方向）,25k-35k,5-10年,本科,150-500人
PHP高级开发工程师,11k-17k,5-10年,大专,150-500人
游戏研发工程师,12k-18k,应届毕业生,本科,500-2000人
中高级C++工程师,12k-20k,3-5年,本科,150-500人
高级服务器开发工程师,18k-30k,5-10年,本科,150-500人
AI平台开发工程师,12k-24k,不限,本科,50-150人
后台工程师,15k-30k,1-3年,本科,150-500人
中级JAVA开发工程师,10k-15k,3-5年,大专,150-500人
PHP开发工程师,6k-12k,1-3年,大专,15-50人
Go/golang,15k-30k,1-3年,本科,15-50人
大数据开发工程师（偏离线计算和数据分析）,15k-25k,3-5年,本科,150-500人
c++服务端开发工程师,12k-18k,1-3年,大专,500-2000人
资深后端开发工程师,15k-30k,5-10年,大专,500-2000人
PHP开发工程师,6k-10k,1-3年,大专,500-2000人
运维开发高级工程师/资深工程师/专家,18k-36k,3-5年,本科,2000人以上
运维开发工程师,10k-15k,应届毕业生,本科,2000人以上
PHP开发工程师,12k-18k,3-5年,大专,50-150人
PHP研发工程师,12k-20k,1-3年,本科,500-2000人
运维开发工程师（薪资与能力成正比）,13k-26k,5-10年,大专,15-50人
php开发工程师,15k-30k,1-3年,不限,150-500人
高级游戏服务端开发工程师,10k-20k,3-5年,本科,150-500人
Java（资深）高级开发工程师,30k-40k,3-5年,本科,500-2000人
人工智能研发工程师,20k-40k,1-3年,硕士,50-150人
Web前端开发(中高级）,10k-15k,3-5年,本科,150-500人
测试开发工程师,15k-25k,5-10年,本科,150-500人
c++开发工程师,15k-25k,3-5年,本科,15-50人
c++服务端开发工程师,10k-20k,1-3年,大专,500-2000人
测试开发高级/资深工程师/专家,20k-40k,5-10年,本科,2000人以上
高级PHP程序员,15k-20k,3-5年,本科,50-150人
cocos游戏开发工程师,8k-16k,1-3年,本科,150-500人
软件工程师,8k-15k,1-3年,本科,50-150人
高级前端工程师,15k-30k,5-10年,本科,150-500人
风控测试开发工程师,10k-15k,3-5年,本科,150-500人
算法工程师（广州）,15k-30k,5-10年,本科,500-2000人
算法工程师,15k-20k,1-3年,本科,150-500人
PHP开发工程师,12k-18k,3-5年,大专,500-2000人
SDN网络研发工程师,12k-20k,3-5年,不限,2000人以上
前端开发工程师,8k-12k,1-3年,大专,150-500人
用户画像高级研发工程师 (MJ001283),20k-40k,5-10年,本科,2000人以上
大数据开发工程师（偏实时计算和大数据平台建设）,15k-25k,不限,本科,150-500人
C++开发工程师,13k-25k,3-5年,不限,15-50人
人工智能工程师,15k-20k,3-5年,不限,2000人以上
数据仓库开发工程师 (MJ000439),10k-20k,3-5年,不限,2000人以上
服务端开发工程师,15k-30k,3-5年,本科,150-500人
技术研发工程师,10k-15k,1-3年,大专,150-500人
后端研发工程师,15k-25k,1-3年,本科,50-150人
技术经理,15k-30k,不限,大专,15-50人
客户端开发工程师,15k-23k,1-3年,本科,15-50人
区块链技术研发工程师,15k-20k,5-10年,本科,15-50人
算法工程师,15k-30k,3-5年,本科,150-500人
研发工程师,8k-10k,不限,硕士,15-50人
Java工程师（大数据方向）,10k-20k,1-3年,本科,150-500人
服务端开发工程师（gz),15k-22k,3-5年,不限,2000人以上
硬件开发工程师,12k-20k,5-10年,本科,2000人以上
固件测试主管/工程师,10k-15k,3-5年,大专,150-500人
算法工程师,20k-40k,10年以上,硕士,2000人以上
数据仓库开发工程师 (MJ001030),13k-25k,3-5年,本科,2000人以上
后台开发工程师,15k-30k,1-3年,本科,150-500人
ADAS研发工程师,13k-25k,不限,硕士,50-150人
高级运维工程师（Linux）,15k-28k,5-10年,本科,150-500人
技术/产品支持工程师,15k-25k,不限,本科,2000人以上
ERP开发工程师,6k-10k,1-3年,大专,500-2000人
测试工程师,7k-10k,1-3年,本科,150-500人
服务器开发工程师,10k-15k,应届毕业生,本科,50-150人
服务器开发工程师,17k-26k,1-3年,本科,15-50人
图像处理研发工程师,15k-20k,1年以下,硕士,500-2000人
客户端开发工程师,12k-18k,1-3年,本科,2000人以上
大数据开发工程师,10k-20k,1-3年,本科,150-500人
后端开发工程师,8k-12k,不限,大专,15-50人
运维工程师,8k-10k,3-5年,本科,150-500人
内容抓取高级研发工程师 (MJ001285),20k-40k,3-5年,本科,2000人以上
web前端,8k-16k,3-5年,本科,2000人以上
PaaS研发工程师,15k-25k,5-10年,本科,2000人以上
PHP高级开发工程师（后台系统）,12k-20k,5-10年,大专,150-500人
墨墨后端开发工程师 / 热爱技术，喜欢折腾,15k-30k,3-5年,本科,少于15人
DBA工程师,15k-28k,5-10年,本科,150-500人
推荐算法工程师,10k-20k,1-3年,本科,150-500人
前端开发工程师,25k-40k,不限,本科,2000人以上
大数据工程师,13k-26k,3-5年,大专,150-500人
高级后台开发工程师（Node.js方向）,15k-30k,1-3年,本科,50-150人
前端开发工程师/HTML5开发工程师,10k-12k,3-5年,大专,50-150人
系统工程师（地点：天河华师地铁）,10k-18k,1-3年,本科,2000人以上
算法开发工程师,15k-20k,1-3年,本科,150-500人
大数据工程师【番禺节能科技园】,13k-25k,3-5年,本科,2000人以上
自动化测试工程师,8k-12k,1-3年,本科,150-500人
服务端开发工程师,12k-18k,3-5年,本科,2000人以上
图像处理助理研发工程师,8k-15k,1年以下,硕士,500-2000人
图像算法工程师,15k-25k,1-3年,本科,150-500人
大数据开发工程师,15k-30k,5-10年,本科,150-500人
测试工程师,15k-26k,5-10年,本科,150-500人
爬虫开发工程师,12k-22k,3-5年,本科,2000人以上
测试工程师,15k-25k,5-10年,本科,50-150人
运维工程师-（应用运维）,12k-24k,3-5年,大专,50-150人
脚本开发工程师,8k-15k,1-3年,大专,50-150人
后端研发工程师,16k-22k,3-5年,本科,少于15人
后端服务器开发工程师(AI方向),12k-24k,1-3年,本科,50-150人
运维工程师（高薪外派东南亚）,20k-40k,3-5年,大专,15-50人
资深图像识别算法工程师,25k-50k,5-10年,本科,500-2000人
数据挖掘工程师（2019届校招岗位）,6k-10k,应届毕业生,本科,150-500人
中级测试工程师,10k-18k,3-5年,大专,150-500人
测试主管,12k-17k,3-5年,本科,150-500人
运维开发工程师,6k-12k,1-3年,本科,150-500人
数据建模工程师,8k-15k,1-3年,本科,150-500人
服务器研发工程师,9k-15k,1-3年,本科,50-150人
运维工程师,10k-15k,3-5年,大专,150-500人
数据平台开发（实习生，可转正）,3k-5k,应届毕业生,本科,150-500人
自然语言算法工程师,20k-40k,1-3年,硕士,150-500人
运维开发,12k-20k,3-5年,大专,500-2000人
运维工程师,6k-10k,应届毕业生,本科,150-500人
区块链技术研发工程师,10k-20k,3-5年,大专,15-50人
算法工程师,13k-18k,1-3年,本科,2000人以上
高级运维开发工程师,14k-24k,3-5年,本科,500-2000人
资深数据挖掘工程师,20k-30k,3-5年,大专,15-50人
c++开发工程师,10k-15k,1-3年,本科,50-150人
运维工程师,10k-15k,3-5年,大专,500-2000人
高级BI工程师,15k-25k,5-10年,本科,150-500人
PTBU-后端开发工程师,15k-25k,1-3年,本科,500-2000人
大数据分析工程师,13k-22k,3-5年,本科,500-2000人
全栈开发工程师,10k-20k,1-3年,不限,15-50人
Ifanr SRE 工程师 (系统工程方向),15k-25k,3-5年,本科,50-150人
devops开发工程师,15k-25k,3-5年,本科,150-500人
基础架构开发工程师(容器方向),16k-25k,1-3年,本科,2000人以上
中级后端,10k-20k,3-5年,本科,15-50人
手游双端开发工程师,10k-15k,1-3年,本科,500-2000人
售前产品顾问（广州）,6k-12k,1-3年,本科,50-150人
运维工程师,7k-12k,1-3年,大专,15-50人
性能测试工程师,9k-13k,3-5年,本科,50-150人
前端开发工程师（高级）,8k-15k,3-5年,本科,150-500人
通信研发工程师,15k-25k,1-3年,不限,15-50人
手游开发工程师,15k-30k,不限,本科,2000人以上
测试工程师,8k-12k,1-3年,大专,50-150人
