职位,工资,经验,学历,公司规模
Python工程师,15k-30k,3-5年,本科,150-500人
python开发工程师,8k-15k,1-3年,本科,150-500人
Python开发工程师,8k-15k,3-5年,大专,50-150人
Python开发工程师,15k-30k,不限,不限,150-500人
python开发工程师,7k-14k,1-3年,大专,15-50人
Python,8k-10k,1-3年,本科,15-50人
开发工程师（Python）,7k-13k,1-3年,本科,500-2000人
中高级python 开发工程师,15k-30k,3-5年,本科,50-150人
算法工程师（python）,8k-16k,不限,硕士,150-500人
python开发工程师（虚拟化方向）,7k-14k,不限,不限,15-50人
python开发工程师,10k-20k,3-5年,本科,2000人以上
Python 开发工程师,10k-20k,3-5年,本科,50-150人
中级python研发工程师,8k-15k,3-5年,本科,500-2000人
Python开发工程师,8k-16k,应届毕业生,本科,500-2000人
Python工程师,10k-20k,3-5年,大专,150-500人
Python高级工程师,20k-40k,5-10年,本科,150-500人
高级python开发工程师,10k-20k,3-5年,本科,150-500人
高级python开发,13k-20k,3-5年,本科,500-2000人
KunLun-系统研发工程师(Go/Python),12k-24k,3-5年,不限,150-500人
高级python研发工程师,15k-20k,5-10年,本科,500-2000人
Python,9k-18k,3-5年,大专,2000人以上
PYTHON,10k-20k,1-3年,不限,2000人以上
高级Python开发工程师,10k-20k,3-5年,本科,500-2000人
Python工程师（运维开发方向）,10k-20k,3-5年,本科,500-2000人
Python软件工程师,6k-10k,1-3年,大专,15-50人
高级python开发工程师,15k-25k,3-5年,本科,50-150人
python开发运维,15k-30k,1-3年,本科,500-2000人
python开发工程师,6k-12k,1-3年,本科,50-150人
Python开发工程师,10k-15k,3-5年,本科,500-2000人
python研发工程师,14k-22k,3-5年,本科,150-500人
python开发工程师,7k-14k,1-3年,本科,150-500人
python开发工程师,8k-13k,1-3年,大专,50-150人
Python开发工程师（运维开发）,10k-15k,3-5年,本科,50-150人
python开发工程师,8k-15k,不限,不限,50-150人
Python高级研发工程师,15K-20K,1-3年,本科,少于15人
资深Python/Go工程师,30k-50k,5-10年,大专,15-50人
运维开发工程师（Python方向）,10k-20k,3-5年,本科,500-2000人
Python 开发工程师,10k-20k,3-5年,本科,15-50人
python开发,4k-6k,应届毕业生,不限,50-150人
python开发工程师,8k-15k,1-3年,大专,少于15人
Python后端开发（成都）,10k-20k,3-5年,本科,50-150人
python开发工程师,10k-15k,1-3年,本科,50-150人
Python开发工程师,12k-20k,1-3年,大专,少于15人
游戏研发工程师（Python）（中高,8k-15k,3-5年,本科,150-500人
后端开发Python,8k-15k,3-5年,大专,15-50人
运维&amp;python开发工程师（高级）,8k-15k,1-3年,本科,50-150人
初级python工程师,7k-10k,1年以下,本科,150-500人
Python开发,5k-10k,1-3年,大专,50-150人
