职位,工资,经验,学历,公司规模
python工程师,10k-20k,3-5年,不限,500-2000人
Python开发工程师,14k-22k,5-10年,本科,15-50人
Python开发工程师,10k-15k,1-3年,本科,50-150人
python开发,6k-8k,1-3年,本科,150-500人
Android开发/java开发/python开发,7k-14k,1-3年,本科,2000人以上
python开发工程师,15k-25k,1-3年,本科,500-2000人
Python研发工程师,12k-22k,3-5年,本科,50-150人
Python编程老师,5k-8k,不限,本科,150-500人
Python工程师,12k-24k,3-5年,本科,150-500人
Python（极验验证）,9k-18k,3-5年,不限,50-150人
Python,5k-10k,1-3年,本科,少于15人
高级Python开发工程师,15k-20k,3-5年,本科,50-150人
python开发工程师,8k-15k,1-3年,本科,50-150人
python开发,9k-18k,3-5年,本科,2000人以上
Python开发工程师,14k-20k,3-5年,本科,50-150人
高级Python开发工程师,15k-25k,3-5年,本科,50-150人
Python/Golang后端,15k-25k,1-3年,本科,500-2000人
Python开发工程师,9k-15k,1-3年,本科,50-150人
高级python工程师,10k-18k,3-5年,本科,50-150人
python开发工程师,6k-12k,1-3年,本科,15-50人
python开发工程师,10k-20k,3-5年,本科,150-500人
Python高级工程师,10k-20k,不限,不限,15-50人
Python开发工程师,15k-30k,1-3年,本科,500-2000人
软件工程师（python）,10k-20k,不限,本科,2000人以上
python,15k-25k,1-3年,本科,15-50人
Python开发工程师,10k-20k,不限,本科,15-50人
高级python工程师,12k-24k,1-3年,本科,500-2000人
Java/Python开发工程师,9k-15k,1年以下,本科,50-150人
python开发工程师（武汉）,15k-30k,3-5年,本科,2000人以上
python开发工程师（实习职位）,1k-2k,应届毕业生,大专,50-150人
后端开发工程师（Python/GO）-武汉,10k-20k,3-5年,本科,500-2000人
Python 中级工程师,10k-15k,3-5年,本科,50-150人
中级Python开发,10k-15k,1-3年,本科,15-50人
Python导师,12k-20k,3-5年,大专,500-2000人
Python后台,9k-15k,1-3年,本科,50-150人
Python后端开发工程师,10k-18k,3-5年,不限,50-150人
Python服务端开发,7k-12k,3-5年,本科,少于15人
Python编程老师实习生,2k-4k,应届毕业生,本科,150-500人
python中级-高级工程师(深度学习方向）,15k-25k,3-5年,本科,15-50人
镜像自动化开发（Python/shell）,10k-18k,1-3年,本科,2000人以上
爬虫工程师（python/Java）,8k-14k,1-3年,大专,150-500人
后端开发（JAVA，C#，Python，Ruby）,12k-20k,3-5年,不限,2000人以上
大数据开发工程师,12k-20k,3-5年,本科,50-150人
大数据开发工程师,6k-10k,1-3年,硕士,150-500人
高级大数据开发工程师【武汉】,12k-24k,3-5年,本科,150-500人
Python系统运维开发工程师,5k-8k,1-3年,大专,50-150人
Android研发(往python后端培养),8k-14k,不限,本科,50-150人
后端工程师（GO/Java）,10k-20k,1-3年,本科,500-2000人
大数据开发工程师-武汉,15k-30k,5-10年,本科,15-50人
视频分析开发工程师,6k-10k,1-3年,硕士,150-500人
后端工程师-（2019 校招）,9k-15k,应届毕业生,本科,500-2000人
GIS开发工程师（武汉）,10k-15k,1-3年,本科,150-500人
安卓开发,10k-15k,3-5年,本科,500-2000人
PHP开发,12k-15k,1-3年,本科,150-500人
PaaS平台开发工程师,15k-20k,5-10年,本科,50-150人
前端开发工程师,8k-10k,1-3年,大专,2000人以上
安全开发工程师,15k-25k,不限,本科,500-2000人
openstack开发工程师（武汉）,15k-30k,3-5年,本科,500-2000人
2019-python开发工程师,7k-14k,应届毕业生,本科,50-150人
大数据平台开发工程师,15k-30k,3-5年,本科,2000人以上
GO中级工程师,10k-15k,3-5年,本科,50-150人
数据开发工程师,10k-20k,3-5年,本科,500-2000人
CDN研发工程师（cache）,30k-50k,3-5年,本科,500-2000人
Web前端开发工程师,8k-15k,3-5年,本科,15-50人
高级PHP游戏开发工程师,10k-15k,3-5年,大专,15-50人
高级JAVA开发工程师,15k-30k,3-5年,本科,50-150人
大数据开发工程师,15k-25k,3-5年,本科,500-2000人
大数据开发工程师_高级,15k-30k,3-5年,本科,15-50人
Web前端开发工程师,12k-18k,3-5年,本科,50-150人
高级Java工程师-武汉,10k-20k,5-10年,本科,150-500人
后端开发工程师（2019校招）,10k-15k,应届毕业生,本科,500-2000人
C++开发,15k-30k,3-5年,本科,150-500人
资深前端工程师,15k-30k,3-5年,本科,2000人以上
云计算工程师,6k-10k,1-3年,本科,150-500人
机器学习/数据挖掘研发工程师,15k-30k,3-5年,本科,500-2000人
节点测试开发工程师,20k-30k,3-5年,本科,500-2000人
前端工程师-（2019校招）,10k-20k,应届毕业生,本科,500-2000人
运维开发工程师,15k-30k,3-5年,本科,2000人以上
资深大数据开发工程师,15k-25k,3-5年,本科,150-500人
高级Java开发工程师,10k-20k,5-10年,本科,150-500人
后端开发工程师（Node.js),15k-25k,1-3年,本科,150-500人
机器学习/深度学习/算法工程师,6k-12k,1-3年,本科,15-50人
后端研发工程师 — 全局搜索,15k-30k,3-5年,本科,2000人以上
数据开发工程师,9k-18k,3-5年,本科,50-150人
大数据开发工程师,10k-20k,3-5年,本科,500-2000人
服务端开发工程师,15k-30k,3-5年,本科,2000人以上
算法工程师,10k-20k,1-3年,硕士,150-500人
软件开发工程师,6k-9k,不限,大专,150-500人
机器人软件工程师,8k-15k,1年以下,硕士,50-150人
java开发工程师,10k-15k,1-3年,本科,50-150人
直播测试开发工程师,20k-30k,1-3年,本科,500-2000人
C++软件开发（楚河汉街）,15k-30k,3-5年,本科,150-500人
前端开发工程师（2019校招）,10k-15k,应届毕业生,本科,500-2000人
服务端研发工程师 — AI平台,15k-30k,3-5年,本科,2000人以上
资深DBA工程师,15k-30k,3-5年,本科,2000人以上
初级算法工程师,7k-13k,不限,本科,150-500人
测试开发工程师,10k-20k,3-5年,本科,150-500人
高级java开发工程师,15k-25k,3-5年,本科,50-150人
资深后台开发工程师,20k-40k,3-5年,本科,2000人以上
NLP工程师,15k-30k,3-5年,硕士,50-150人
PHP开发工程师,10k-16k,不限,本科,500-2000人
DevOps 研发工程师,13k-26k,3-5年,本科,150-500人
算法工程师,8k-15k,1-3年,本科,150-500人
NLP工程师,10k-20k,1-3年,本科,50-150人
测试工程师（2019应届生，武汉）,7k-10k,应届毕业生,本科,2000人以上
云应用平台研发工程师,15k-25k,3-5年,本科,150-500人
数据开发工程师-智能问答,15k-30k,1-3年,本科,2000人以上
后端开发,15k-25k,3-5年,本科,150-500人
数据工程师,10k-20k,1-3年,本科,500-2000人
测试工程师,8k-15k,1-3年,不限,50-150人
技术支持工程师,10k-15k,1-3年,不限,150-500人
运维工程师,7k-14k,3-5年,本科,150-500人
视觉软件工程师,8k-10k,1-3年,本科,50-150人
大数据工程师,15k-25k,3-5年,本科,50-150人
高级软件测试工程师,10k-15k,5-10年,大专,500-2000人
大数据开发工程师,15k-25k,5-10年,本科,150-500人
资深后台开发工程师,20k-40k,3-5年,本科,2000人以上
数据挖掘工程师,10k-20k,1-3年,本科,150-500人
云平台研发工程师,15k-30k,3-5年,本科,50-150人
NLP算法工程师,15k-25k,3-5年,本科,500-2000人
OpenPitrix 后端研发工程师,13k-26k,3-5年,本科,150-500人
软件开发工程师,18k-35k,不限,本科,2000人以上
高级JAVA开发工程师（武汉）,10k-18k,3-5年,本科,150-500人
数据工程师,7k-10k,1-3年,不限,500-2000人
运维工程师,12k-22k,5-10年,本科,50-150人
java开发工程师,10k-20k,3-5年,本科,150-500人
