职位,工资,经验,学历,公司规模
Python开发工程师,8k-12k,1-3年,本科,少于15人
Python开发工程师,10k-20k,1-3年,本科,150-500人
python,8k-15k,1-3年,本科,150-500人
Python/Django开发工程师,8k-16k,3-5年,不限,15-50人
Python开发工程师,9k-15k,应届毕业生,本科,150-500人
python工程师,10k-20k,1-3年,本科,150-500人
python工程师,4k-6k,不限,大专,15-50人
Python工程师,6k-12k,1-3年,不限,500-2000人
python开发,6k-10k,1-3年,本科,50-150人
Python开发工程师(苏州),5k-10k,不限,本科,15-50人
python开发工程师,5k-8k,1-3年,大专,50-150人
python开发工程师,12k-18k,3-5年,本科,2000人以上
高级Python工程师,15k-30k,3-5年,不限,15-50人
Python数据分析工程师,5k-10k,1-3年,大专,少于15人
业务后台开发工程师-苏州,20k-40k,3-5年,本科,150-500人
python（高级）开发工程师 苏州/上海,10k-20k,3-5年,本科,150-500人
资深Python研发工程师,15k-25k,3-5年,本科,少于15人
（实习）Python开发工程师,3k-6k,应届毕业生,大专,15-50人
后台开发工程师（Java/Python）,8k-15k,1-3年,本科,150-500人
高级python（爬虫）工程师,15k-25k,3-5年,大专,15-50人
DevOps开发工程师,15k-23k,5-10年,本科,500-2000人
软件开发工程师-苏州,25k-45k,不限,硕士,150-500人
大数据开发工程师,10k-15k,1-3年,本科,150-500人
web前端,8k-15k,3-5年,不限,50-150人
java开发工程师(苏州),9k-15k,3-5年,本科,2000人以上
算法工程师,15k-30k,1-3年,硕士,50-150人
云计算开发工程师,15k-30k,3-5年,本科,2000人以上
资深系统工程师,15k-25k,3-5年,本科,50-150人
研发工程师（2019届）,10k-15k,应届毕业生,硕士,2000人以上
运维工程师,8k-10k,1-3年,大专,15-50人
后台开发工程师（python，C++，Java）,8k-12k,1-3年,本科,150-500人
定制开发工程师,4k-8k,1-3年,本科,150-500人
大数据开发工程师,18k-30k,5-10年,本科,500-2000人
全栈开发工程师,10k-15k,1-3年,本科,少于15人
全栈开发工程师-苏州,25k-45k,不限,本科,150-500人
软件技术工程师（系统集成）(J10091),15k-25k,1-3年,本科,500-2000人
软件测试工程师（高级）,8k-11k,3-5年,大专,15-50人
后端开发工程师,20k-40k,3-5年,本科,15-50人
高级 iOS 客户端开发工程师,14k-28k,3-5年,本科,500-2000人
运维工程师（偏网络）,10k-15k,3-5年,大专,50-150人
算法工程师实习生,2k-4k,应届毕业生,硕士,2000人以上
全栈研发工程师,20k-40k,应届毕业生,本科,50-150人
信息技术工程师,8k-10k,不限,本科,150-500人
【校招】算法开发工程师,15k-25k,应届毕业生,本科,150-500人
大数据运维工程师,10k-20k,5-10年,本科,150-500人
c++开发工程师,8k-15k,不限,本科,150-500人
测试开发工程师-苏州,25k-45k,不限,硕士,150-500人
(NLP)自然语言处理工程师,10k-20k,1年以下,本科,少于15人
云存储开发工程师(J10251),15k-20k,1-3年,本科,500-2000人
汽车嵌入式软件开发工程师-苏州-00030,15k-30k,应届毕业生,本科,50-150人
C++开发工程师-苏州,25k-45k,1年以下,硕士,150-500人
软负载均衡高级开发工程师(J10371),20k-25k,1-3年,本科,500-2000人
应用研发工程师,6k-12k,1-3年,大专,50-150人
数据分析师,10k-20k,3-5年,硕士,50-150人
机器学习科学家-苏州,40k-70k,1-3年,博士,50-150人
NLP工程师,15k-20k,1-3年,本科,150-500人
后台开发工程师（区块链方向）,6k-10k,3-5年,本科,15-50人
智能服务核心引擎JAVA开发（苏州）,20k-30k,5-10年,本科,150-500人
IOS初级开发工程师,5k-10k,1-3年,大专,500-2000人
C/C++开发,15k-25k,3-5年,硕士,50-150人
软件测试,6k-12k,不限,本科,150-500人
软件开发工程师,7k-10k,1-3年,本科,150-500人
高级软件开发工程师,11k-22k,3-5年,本科,2000人以上
Web前端开发工程师,10k-15k,3-5年,本科,150-500人
高级前端开发工程师,15k-20k,1-3年,不限,15-50人
自动化测试工程师,20k-40k,3-5年,本科,150-500人
高性能负载均衡高级开发工程师(J10372),20k-25k,1-3年,本科,500-2000人
