职位,工资,经验,学历,公司规模
python开发工程师,7k-14k,1-3年,本科,2000人以上
Python工程师,8k-15k,1-3年,大专,150-500人
python开发工程师,9k-15k,1-3年,本科,500-2000人
高级Python开发工程师,12k-18k,5-10年,本科,15-50人
Python高级开发工程师,7k-14k,3-5年,本科,2000人以上
高级 Python 后端开发工程师,15k-25k,3-5年,本科,15-50人
Python研发工程师,7k-12k,3-5年,大专,15-50人
Python工程师,8k-16k,3-5年,大专,15-50人
python开发,9k-16k,1-3年,本科,2000人以上
python开发工程师,8k-12k,3-5年,本科,2000人以上
云方向业务部门-python开发工程师,6k-10k,1-3年,本科,2000人以上
Python高级工程师,13k-26k,5-10年,不限,50-150人
python开发工程师,6k-12k,1-3年,本科,15-50人
Python,8k-15k,1-3年,大专,150-500人
Python,10k-20k,3-5年,本科,15-50人
python开发实习生（西安）,2k-3k,不限,本科,500-2000人
python开发工程师,20k-30k,3-5年,本科,15-50人
高级python工程师,10k-15k,3-5年,本科,50-150人
python开发工程师,10k-20k,3-5年,本科,15-50人
python,9k-11k,3-5年,本科,15-50人
后端开发工程师-Python,9k-18k,3-5年,本科,15-50人
python高级开发工程师,10k-15k,3-5年,本科,15-50人
Python页游后端开发工程师,10k-15k,3-5年,本科,少于15人
平台研发工程师,12k-20k,3-5年,大专,50-150人
云计算研发工程师,10k-15k,3-5年,本科,150-500人
数据开发工程师,10k-20k,5-10年,本科,50-150人
后端工程师,9k-18k,不限,本科,50-150人
大数据开发工程师-西安,10k-20k,3-5年,本科,150-500人
PHP研发工程师,6k-10k,1-3年,本科,500-2000人
C/C++软件工程师,8k-15k,3-5年,本科,15-50人
python测试实习生（西安）,2k-4k,不限,本科,500-2000人
python爬虫,10k-15k,3-5年,本科,15-50人
前端工程师,10k-18k,3-5年,本科,50-150人
深度学习算法研发工程师,15k-30k,5-10年,硕士,15-50人
中级PHP开发工程师-西安-18831,10k-15k,3-5年,本科,2000人以上
高级Java工程师-西安,10k-20k,3-5年,本科,150-500人
高级开发工程师,9k-18k,5-10年,本科,500-2000人
.NET开发工程师,5k-10k,1-3年,大专,50-150人
数据开发工程师,15k-25k,3-5年,本科,15-50人
高级PHP开发工程师,15k-25k,3-5年,大专,150-500人
自动化测试工程师,8k-15k,3-5年,不限,50-150人
开发工程师,10k-20k,5-10年,本科,50-150人
算法工程师,10k-20k,1-3年,硕士,50-150人
技术总监/技术线负责人,15k-22k,5-10年,本科,500-2000人
大数据开发组长,15k-20k,3-5年,本科,50-150人
Python测试实习生（西安）-NTI,2k-4k,不限,本科,500-2000人
高级php研发工程师-西安-18830,15k-20k,5-10年,本科,2000人以上
技术经理,20k-30k,5-10年,本科,15-50人
软件测试工程师,5k-10k,3-5年,本科,15-50人
Java架构师,12k-20k,3-5年,本科,50-150人
运维工程师,5k-10k,3-5年,本科,50-150人
大数据开发工程师,10k-15k,3-5年,本科,少于15人
算法工程师,10k-15k,1-3年,硕士,2000人以上
Build Release Engineer,15k-22k,3-5年,本科,150-500人
软件开发工程师,15k-30k,3-5年,本科,2000人以上
Linux C/C++高级软件工程师,10k-15k,3-5年,本科,150-500人
软件测试工程师,5k-10k,3-5年,本科,15-50人
自动化测试,7k-14k,1-3年,本科,2000人以上
机器学习工程师,8k-16k,不限,大专,150-500人
C++研发工程师,10k-15k,3-5年,不限,500-2000人
IT运维,5k-8k,3-5年,本科,50-150人
手机终端测试,6k-12k,1-3年,本科,2000人以上
高级后端开发工程师（西安）,15k-25k,3-5年,本科,15-50人
云平台开发工程师,10k-15k,不限,不限,150-500人
中级软件工程师,10k-20k,3-5年,本科,50-150人
前端工程师,6k-12k,5-10年,本科,150-500人
数据开发中级工程师,10k-15k,3-5年,本科,150-500人
高级大数据开发工程师,14k-28k,3-5年,本科,150-500人
Web开发工程师,8k-16k,不限,本科,15-50人
