职位,工资,经验,学历,公司规模
Python开发工程师,7k-10k,1-3年,本科,15-50人
Python,6k-12k,3-5年,大专,50-150人
Python运维工程师,9k-12k,3-5年,大专,500-2000人
python web开发工程师,10k-20k,3-5年,大专,150-500人
高级爬虫工程师/python开发,10k-15k,3-5年,大专,15-50人
Python工程师,10k-20k,3-5年,硕士,150-500人
python工程师,8k-16k,3-5年,本科,15-50人
Python软件研发工程师,8k-16k,3-5年,大专,50-150人
python开发,15k-22k,1-3年,本科,2000人以上
Python服务端开发,10k-20k,5-10年,大专,150-500人
python讲师,8k-15k,1-3年,本科,50-150人
Python开发工程师,8k-15k,不限,不限,15-50人
python爬虫,6k-12k,1-3年,本科,150-500人
C PHP Python node.js实习生新手,2k-4k,不限,大专,50-150人
大数据开发工程师,12k-18k,3-5年,本科,150-500人
软件开发工程师,8k-16k,1-3年,本科,15-50人
高级测试开发工程师,10k-15k,3-5年,本科,15-50人
高级数据开发工程师,14k-15k,3-5年,本科,2000人以上
资深测试开发工程师,10k-20k,3-5年,本科,50-150人
运维研发工程师,8k-15k,3-5年,本科,150-500人
高级数据开发工程师,15k-25k,3-5年,本科,500-2000人
后台开发工程师,15k-25k,5-10年,本科,150-500人
技术总监,10k-15k,5-10年,本科,15-50人
研发工程师,10k-13k,3-5年,本科,2000人以上
开发工程师,10k-20k,不限,不限,50-150人
爬虫工程师,8k-12k,1-3年,本科,150-500人
web安全测试工程师,15k-20k,3-5年,大专,500-2000人
数据挖掘工程师,10k-18k,3-5年,本科,150-500人
算法工程师,15k-30k,不限,硕士,150-500人
devops开发运维工程师,8k-15k,3-5年,本科,150-500人
高级软件工程师,15k-30k,5-10年,本科,15-50人
数据库开发工程师,13k-15k,3-5年,本科,2000人以上
推荐算法工程师,15k-30k,3-5年,本科,15-50人
数据挖掘工程师,10k-20k,1-3年,本科,150-500人
高级测试开发工程师,9k-16k,不限,本科,500-2000人
大数据工程开发师,6k-12k,1-3年,大专,15-50人
高级测试工程师,10k-20k,3-5年,大专,150-500人
大数据开发工程师,20k-40k,5-10年,本科,2000人以上
C/C++高级开发工程师,10k-20k,3-5年,本科,150-500人
算法专家（长沙）,15k-25k,5-10年,本科,50-150人
高级开发工程师,10k-20k,3-5年,本科,15-50人
大数据开发工程师,10k-15k,1-3年,本科,150-500人
c++开发工程师,5k-8k,1-3年,本科,15-50人
测试工程师讲师,15k-20k,5-10年,本科,150-500人
图像算法工程师,18k-35k,不限,硕士,150-500人
NLP挖掘师,8k-16k,1年以下,硕士,150-500人
测试总监,25k-35k,10年以上,大专,50-150人
中级DBA工程师,8k-15k,3-5年,大专,150-500人
Ruby,9K-15K,1-3年,本科,50-150人
贷前策略经理,6k-10k,3-5年,本科,150-500人
高级运维工程师,8k-16k,不限,不限,150-500人
机器学习平台研发工程师,10k-20k,1-3年,本科,500-2000人
架构师,20k-30k,5-10年,本科,15-50人
Hadoop高级研发工程师,15K-25K,3-5年,大专,2000人以上
大数据开发工程师,15k-25k,3-5年,本科,150-500人
技术总监,10k-20k,5-10年,本科,15-50人
算法工程师,10k-15k,3-5年,本科,少于15人
系统工程师,8k-12k,3-5年,大专,500-2000人
高级Node.js 工程师,8k-15k,5-10年,大专,150-500人
etl数据工程师,10k-13k,1-3年,本科,2000人以上
视频防盗链分析工程师,10k-20k,3-5年,本科,500-2000人
应用工程师,10k-15k,3-5年,大专,500-2000人
web前端开发工程师,7k-10k,1-3年,本科,15-50人
技术总监,20k-35k,5-10年,不限,15-50人
高级前端研发工程师,15k-25k,3-5年,不限,15-50人
NLP算法实习生,2k-4k,不限,本科,15-50人
前端工程师,5k-10k,1-3年,本科,15-50人
测试经理,10k-20k,5-10年,本科,500-2000人
高级java开发工程师,8k-12k,5-10年,不限,150-500人
数据分析管培生,3k-5k,应届毕业生,本科,2000人以上
算法工程师,10k-13k,1-3年,硕士,15-50人
自然语言处理工程师,6k-12k,不限,本科,50-150人
WEB全栈工程师/中高级Java软件工程师,6k-12k,5-10年,大专,少于15人
短视频推荐引擎算法工程师,10k-20k,3-5年,本科,500-2000人
数据挖掘工程师,15k-20k,3-5年,本科,2000人以上
高级/资深测试工程师（功能测试方向/测试开发方向）,12k-24k,5-10年,不限,500-2000人
全栈工程师,8k-15k,不限,本科,15-50人
资深java开发工程师,15k-25k,5-10年,本科,150-500人
深度学习算法工程师,12k-24k,不限,硕士,50-150人
前端工程师,8k-16k,1-3年,本科,15-50人
PHP高级开发工程师,10k-15k,3-5年,大专,150-500人
运维工程师,6k-10k,应届毕业生,不限,150-500人
语音训练模型工程师,6k-10k,1-3年,本科,50-150人
前端开发工程师,6k-10k,不限,不限,15-50人
前端开发工程师,5k-8k,不限,不限,15-50人
PHP高级开发工程师,12k-15k,3-5年,不限,50-150人
运维工程师（实习生）,3k-4k,应届毕业生,本科,150-500人
安卓开发工程师,6k-12k,1-3年,大专,15-50人
运维研发工程师,10k-20k,3-5年,本科,500-2000人
运维开发工程师,13k-20k,3-5年,大专,500-2000人
逆向工程师,9k-18k,3-5年,大专,500-2000人
技术经理,10k-15k,5-10年,大专,150-500人
Java开发工程师,10k-15k,3-5年,大专,2000人以上
后端开发工程师,6k-10k,1-3年,大专,50-150人
数据挖掘工程师,10k-15k,3-5年,本科,少于15人
爬虫工程师,10k-15k,1-3年,大专,15-50人
逆向工程师,15k-30k,1-3年,不限,50-150人
人工智能工程师讲师,10k-15k,1-3年,本科,150-500人
自然语言处理工程师,10k-15k,不限,本科,50-150人
Hadoop大数据讲师,8k-15k,1-3年,本科,50-150人
前端工程师【校招】,8k-13k,应届毕业生,本科,50-150人
PHP高级工程师,7k-14k,3-5年,本科,15-50人
Java,5k-8k,1-3年,大专,500-2000人
短视频数据运营,8k-16k,3-5年,本科,500-2000人
安全产品研发工程师,5k-8k,3-5年,本科,150-500人
运维工程师,7k-14k,3-5年,大专,500-2000人
前端开发工程师,6k-12k,1-3年,本科,15-50人
区块链高级工程师（Java）,10k-15k,5-10年,本科,50-150人
测试工程师,8k-15k,1-3年,大专,50-150人
数据挖掘工程师,8k-16k,1-3年,本科,50-150人
c++开发工程师,12k-15k,3-5年,不限,50-150人
高级测试工程师,7k-12k,3-5年,大专,2000人以上
php开发工程师,5k-10k,1-3年,大专,150-500人
B/S架构师,15k-20k,5-10年,本科,少于15人
自动化测试工程师,10k-15k,3-5年,本科,50-150人
Java软件工程师,8k-15k,不限,本科,15-50人
漏洞挖掘技术研究员,10k-12k,3-5年,不限,15-50人
大数据工程师,10k-20k,3-5年,本科,150-500人
创新研究院院长&amp;研究员,80k-100k,5-10年,本科,500-2000人
区块链高级工程师,10k-15k,5-10年,本科,50-150人
数据挖掘工程师,8k-11k,3-5年,本科,2000人以上
C++开发工程师,7k-10k,1-3年,本科,15-50人
运维工程师（长沙）,5k-8k,1-3年,大专,150-500人
前端开发工程师,5k-8k,1-3年,不限,15-50人
总部研发部门JAVA架构师,15k-20k,应届毕业生,大专,2000人以上
测试主管,12k-20k,5-10年,本科,50-150人
爬虫工程师,8k-15k,1-3年,本科,15-50人
高级前端开发工程师,15k-25k,3-5年,不限,15-50人
Java,5k-10k,3-5年,大专,少于15人
运维工程师,6k-8k,1-3年,本科,50-150人
技术支持/运维工程师,5k-7k,1-3年,大专,50-150人
运维工程师,5k-8k,1-3年,大专,500-2000人
Java,10k-20k,3-5年,大专,2000人以上
高级web前端开发工程师,8k-15k,不限,本科,500-2000人
少儿编程老师,6k-12k,不限,本科,少于15人
高级运维工程师,10k-15k,3-5年,大专,50-150人
大数据运维工程师,8k-12k,不限,大专,2000人以上
高级运维工程师,7k-11k,1-3年,本科,500-2000人
高级系统网络管理工程师,8k-12k,5-10年,本科,50-150人
软件测试,6k-9k,1-3年,本科,50-150人
数据挖掘算法工程师（信贷风控),8k-16k,应届毕业生,本科,150-500人
运维工程师,6k-10k,3-5年,大专,15-50人
Java架构师,13k-20k,应届毕业生,本科,2000人以上
测试工程师,5k-10k,应届毕业生,大专,15-50人
深度学习算法工程师,8k-16k,1-3年,本科,15-50人
编译器工程师,15k-25k,不限,本科,15-50人
运维工程师,6k-8k,不限,不限,15-50人
测试工程师,5k-10k,1-3年,不限,15-50人
Web前端研发主管,15k-25k,5-10年,本科,500-2000人
数据可视化工程师,6k-10k,1-3年,大专,2000人以上
测试工程师,6k-9k,不限,本科,50-150人
实习渗透测试工程师,3k-6k,不限,不限,50-150人
大数据运维,8k-16k,1-3年,不限,150-500人
渗透测试实习生,3k-6k,不限,本科,50-150人
自动化测试工程师,8k-15k,3-5年,本科,500-2000人
高级/资深测试工程师（渗透测试方向）,12k-20k,5-10年,大专,500-2000人
机器学习,10k-15k,不限,硕士,50-150人
